vintage,age,gender,line,table_code,qx,source
2000,55,F,non_pension_type1,CL2,0.003178,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,56,F,non_pension_type1,CL2,0.003577,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,57,F,non_pension_type1,CL2,0.004036,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,58,F,non_pension_type1,CL2,0.004556,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,59,F,non_pension_type1,CL2,0.005133,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,60,F,non_pension_type1,CL2,0.005768,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,61,F,non_pension_type1,CL2,0.006465,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,62,F,non_pension_type1,CL2,0.007235,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,63,F,non_pension_type1,CL2,0.008094,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,64,F,non_pension_type1,CL2,0.009059,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,65,F,non_pension_type1,CL2,0.010148,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,66,F,non_pension_type1,CL2,0.011376,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,67,F,non_pension_type1,CL2,0.01276,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,68,F,non_pension_type1,CL2,0.014316,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,69,F,non_pension_type1,CL2,0.016066,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,70,F,non_pension_type1,CL2,0.018033,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,71,F,non_pension_type1,CL2,0.020241,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,72,F,non_pension_type1,CL2,0.022715,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,73,F,non_pension_type1,CL2,0.025479,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,74,F,non_pension_type1,CL2,0.028561,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,75,F,non_pension_type1,CL2,0.031989,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,76,F,non_pension_type1,CL2,0.035796,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,77,F,non_pension_type1,CL2,0.040026,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,78,F,non_pension_type1,CL2,0.044726,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,79,F,non_pension_type1,CL2,0.049954,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,80,F,non_pension_type1,CL2,0.055774,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,81,F,non_pension_type1,CL2,0.062253,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,82,F,non_pension_type1,CL2,0.069494,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,83,F,non_pension_type1,CL2,0.077511,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,84,F,non_pension_type1,CL2,0.086415,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,85,F,non_pension_type1,CL2,0.096294,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,86,F,non_pension_type1,CL2,0.107243,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,87,F,non_pension_type1,CL2,0.119364,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,88,F,non_pension_type1,CL2,0.132763,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,89,F,non_pension_type1,CL2,0.147553,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,90,F,non_pension_type1,CL2,0.16385,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,91,F,non_pension_type1,CL2,0.181775,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,92,F,non_pension_type1,CL2,0.201447,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,93,F,non_pension_type1,CL2,0.222987,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,94,F,non_pension_type1,CL2,0.246507,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,95,F,non_pension_type1,CL2,0.272115,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,96,F,non_pension_type1,CL2,0.299903,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,97,F,non_pension_type1,CL2,0.329942,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,98,F,non_pension_type1,CL2,0.362281,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,99,F,non_pension_type1,CL2,0.396933,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,100,F,non_pension_type1,CL2,0.433869,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,101,F,non_pension_type1,CL2,0.473008,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,102,F,non_pension_type1,CL2,0.514211,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,103,F,non_pension_type1,CL2,0.557269,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,104,F,non_pension_type1,CL2,0.601896,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,105,F,non_pension_type1,CL2,1.0,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,0,M,non_pension_type1,CL1,0.000722,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,1,M,non_pension_type1,CL1,0.000603,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,2,M,non_pension_type1,CL1,0.000499,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,3,M,non_pension_type1,CL1,0.000416,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,4,M,non_pension_type1,CL1,0.000358,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,5,M,non_pension_type1,CL1,0.000323,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,6,M,non_pension_type1,CL1,0.000309,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,7,M,non_pension_type1,CL1,0.000308,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,8,M,non_pension_type1,CL1,0.000311,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,9,M,non_pension_type1,CL1,0.000312,"CL(2000-2003), CIRC Notice ????2005?133?"
