date,csi300,sp500,stoxx50
2023-03-21,3982.378,4002.8701,4181.6
2023-03-22,3999.443,3936.97,4195.7
2023-03-23,4039.09,3948.72,4207.14
2023-03-24,4027.046,3970.99,4130.62
2023-03-27,4012.477,3977.53,4164.62
2023-03-28,3999.515,3971.27,4168.21
2023-03-29,4006.144,4027.8101,4231.27
2023-03-30,4038.526,4050.8301,4285.42
2023-03-31,4050.926,4109.3101,4315.05
2023-04-03,4090.568,4124.5098,4311.05
2023-04-04,4103.105,4100.6001,4315.32
2023-04-06,4096.64,4105.02,4309.45
2023-04-11,4100.148,4108.9399,4333.29
2023-04-12,4097.288,4091.95,4334.03
2023-04-13,4068.979,4146.2202,4363.24
2023-04-14,4091.999,4137.6401,4390.75
2023-04-17,4149.384,4151.3198,4367.61
2023-04-18,4162.032,4154.8701,4393.95
2023-04-19,4124.559,4154.52,4393.57
2023-04-20,4113.019,4129.79,4384.86
2023-04-21,4032.567,4133.52,4408.59
2023-04-24,3982.643,4137.04,4401.8
2023-04-25,3962.666,4071.6299,4377.85
2023-04-26,3959.232,4055.99,4347.71
2023-04-27,3988.419,4135.3501,4358.05
2023-04-28,4029.086,4169.48,4359.31
2023-05-04,4030.247,4061.22,4287.03
2023-05-05,4016.877,4136.25,4340.43
2023-05-08,4062.662,4138.1201,4348.65
2023-05-09,4027.875,4119.1699,4323.09
2023-05-10,3996.87,4137.6401,4306.76
2023-05-11,3990.664,4130.6201,4309.75
2023-05-12,3937.762,4124.0801,4317.88
2023-05-15,3998.887,4136.2798,4316.41
2023-05-16,3978.205,4109.8999,4315.51
2023-05-17,3960.165,4158.77,4323.23
2023-05-18,3956.07,4198.0498,4367.45
2023-05-19,3944.54,4191.98,4395.3
2023-05-22,3969.328,4192.6299,4385.63
2023-05-23,3913.188,4145.5801,4342.38
2023-05-24,3859.094,4115.2402,4263.74
2023-05-25,3850.5,4151.2798,4269.64
2023-05-26,3850.951,4205.4502,4337.5
2023-05-30,3837.753,4205.52,4291.58
2023-05-31,3798.543,4179.8301,4218.04
2023-06-01,3806.868,4221.02,4257.61
2023-06-02,3861.834,4282.3701,4323.52
2023-06-05,3844.249,4273.79,4293.24
2023-06-06,3808.163,4283.8501,4295.22
2023-06-07,3789.342,4267.52,4291.91
2023-06-08,3820.187,4293.9302,4297.68
2023-06-09,3836.703,4298.8599,4289.79
2023-06-12,3844.432,4338.9302,4316.49
2023-06-13,3864.907,4369.0098,4347.55
2023-06-14,3864.025,4372.5898,4375.98
2023-06-15,3925.499,4425.8398,4365.12
2023-06-16,3963.351,4409.5898,4394.82
2023-06-20,3924.238,4388.71,4343.14
2023-06-21,3864.032,4365.6899,4322.75
2023-06-26,3809.696,4328.8198,4280.57
2023-06-27,3845.433,4378.4102,4305.26
2023-06-28,3840.799,4376.8599,4344.75
2023-06-29,3821.844,4396.4399,4354.69
2023-06-30,3842.452,4450.3799,4399.09
2023-07-03,3892.882,4455.5898,4398.15
2023-07-05,3868.805,4446.8198,4350.71
2023-07-06,3842.755,4411.5898,4223.09
2023-07-07,3825.699,4398.9502,4236.6
2023-07-10,3844.327,4409.5298,4256.51
2023-07-11,3869.486,4439.2598,4286.56
2023-07-12,3843.437,4472.1602,4360.46
2023-07-13,3898.423,4510.04,4391.76
2023-07-14,3899.103,4505.4199,4400.11
2023-07-17,3867.175,4522.79,4356.79
2023-07-18,3854.939,4554.98,4369.73
2023-07-19,3850.866,4565.7202,4362.28
2023-07-20,3823.695,4534.8701,4373.73
2023-07-21,3821.91,4536.3398,4391.41
2023-07-24,3805.221,4554.6401,4383.03
2023-07-25,3915.115,4567.46,4391.3
2023-07-26,3907.013,4566.75,4346.15
2023-07-27,3902.346,4537.4102,4447.44
2023-07-28,3992.738,4582.23,4466.5
2023-07-31,4014.63,4588.96,4471.31
2023-08-01,3998.001,4576.73,4407.54
2023-08-02,3969.895,4513.3901,4336.5
2023-08-03,4004.984,4501.8901,4304.63
2023-08-04,4020.579,4478.0298,4332.91
2023-08-07,3990.153,4518.4399,4337.5
2023-08-08,3979.732,4499.3799,4288.85
2023-08-09,3967.565,4467.71,4317.33
2023-08-10,3975.717,4468.8301,4384.04
2023-08-11,3884.254,4464.0498,4321.33
2023-08-14,3855.906,4489.7202,4330.23
2023-08-15,3846.536,4437.8599,4288.57
2023-08-16,3818.334,4404.3301,4284.27
2023-08-17,3831.101,4370.3599,4227.83
2023-08-18,3784.004,4369.71,4212.95
2023-08-21,3729.555,4399.77,4224.87
2023-08-22,3758.227,4387.5498,4260.37
2023-08-23,3696.634,4436.0098,4266.67
2023-08-24,3723.429,4376.3101,4232.22
2023-08-25,3709.152,4405.71,4236.25
2023-08-28,3752.619,4433.3101,4293.69
2023-08-29,3790.107,4497.6299,4326.47
